var,description
medication_frequency_30_v2_3,Frequency
eos_death_reported_v2_3,Was death reported as SAE/SUSAR?
dc_pv_sweat_4_v2_3,Day 4
medhist_recent_det_v2_3,Details
s1_unblind,4.  Was participant unblinded according to unblinding SOP? 
s1_dia,Diastolic BP
medication_name_4_v2_3,Mediation Name or Therapy
dc_ill_temp_pm_3_v2_3,"Temperature, afternoon Day 3"
med_stop_yr_28_v2_3,Stop Date - Year
fu_vs_datetime1,
d7_smell,
ae_og_28_v2_3___1,
med_start_yr_25_v2_3,Start Date - Year
med_ongoing_end_24_v2_3___1,
d56_app_v3_2,Loss of appetite
d7_cyt_2a___1,
ev_pulse,
medication_frequency_3_v2_3,Frequency
pospcr_asymp_comment,Comments:
d14_oxy,
pospcr_myalgia_resol,Date of symptom resolution (myalgia):
medication_frequency_1_v2_3,Frequency
med_ongoing_end_8_v2_3___1,
dc_ill_temp_am_9_v2_3,"Temperature, morning Day 9"
med_stop_date_16_v2_3,
dc_pv_weak_5_v2_3,Day 5
d182_rapid_st_v3_2,Start date
ae_sdate_23_v2_3,Stop Date
ae_name_30_v2_3,Adverse event name
dc_ill_temp_am_8_v2_3,"Temperature, morning Day 8"
exam_cv_det_cs_v2_3,Cardiovascular - Abnormal CS details
medication_frequency_28_v2_3,Frequency
s1_jointpains,Joint pains
med_stop_mo_22_v2_3,Stop Date - Month
med_start_mo_11_v2_3,Start Date - Month
ae_sdate_5_v2_3,Stop Date
icf_vc_trans_comm_v3_0,Translator comments
social_alcohol_v2_3,Does the participant use alcohol?
dc_ill_chill_1_v2_3,Chills Day 1
vs_scr_dat_v2_3,1. Date:
dc_pv_feverish_med_v2_3,Medication
d182_naus_vom_st_v3_2,Start date
ae_sev_8_v2_3,Severity
dc_pv_temp_5_v2_3,Day 5
med_start_date_5_v2_3,
medco_cv_opt_v2_3___3,
med_ongoing_end_25_v2_3___1,
pospcr_data_sources_r2___3,
pospcr_diarr_onset_r2,Date of onset (diarrhea):
medco_cv_opt_v2_3___8,
ae_yes_sae_30_v2_3___1,
prevac_bp_dia,
d7_induration,
exam_oth_det_ncs_v2_3,Other - Abnormal NCS details
dc_pv_breath_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
d3_dat,
med_stop_day_11_v2_3,Stop Date - Day
d364_dat_v3_2,1. Date:
medication_name_33_v2_3,Mediation Name or Therapy
ae_name_13_v2_3,Adverse event name
fu_np_datetime2,
ae_sdate_7_v2_3,Stop Date
day_3_post_vaccination_complete,
d364_tim_v3_2,Time
ev_oth,
pospcr_data_sources___6,
icf_ad_tel_dat_v1_0,Date of telephonic consent
dc_ill_oth2_7_v2_3,Other 2 Day 7
ae_sev_21_v2_3,Severity
icf_re_stor_copy_v3_0,11. Was a copy of the sample storage form given to the participant?
dc_ill_med10_v2_3,Name of medication
exam_resp_det_ncs_v2_3,Respiratory - Abnormal NCS details
d56_othsamp_sp_v3_2,Specify other sample
dc_ill_oth2_6_v2_3,Other 2 Day 6
ae_og_22_v2_3___1,
s1_oth,Other: specify
d56_naus_vom_st_v3_2,Start date
dc_pv_breath_1_v2_3,Day 1
dc_pv_joint_1_v2_3,Day 1
ae_yes_sae_15_v2_3___1,
d182_throat_st_v3_2,Start date
d28_ns_2a___1,
d28_pulse,
inclexcl_crf_status,
d182_serum_13_tim_v3_2,Time
dc_ill_med10_dose_v2_3,Dosage
ev_oth1_sp,
ae_related_4_v2_3,Relationship to Study Vaccine
pospcr_hightemp,"Please record the highest body temperature documented during episode     ( °C, 1dp):"
medhist_family_det1_v2_3,1. Details
d3_oth1,
icf_vc_copy_v3_0,10. Was a copy of the main informed consent form given to the participant?
medication_tmt_26_v2_3,Prophylaxis or Treatment
ev_weak.1,
d28_hla_2b_tim,
s6_jointpains,Joint pains
s6_temp_2,Oral temperature
ae_date_7_v2_3,Start Date
excl17,
ae_outcome_21_v2_3,Outcome
icf_assess_v2_3,6. Was the assessment of understanding questionnaire completed and a score of at least 8/10 obtained within 2 attempts?
med_start_mo_15_v2_3,Start Date - Month
day_0_vaccination_complete,
travelhist_country3_start_mo_v2_3,Start Date - Month
pv60_headache,
med_stop_yr_10_v2_3,Stop Date - Year
d28_pax_2a___1,
med_stop_day_29_v2_3,Stop Date - Day
dc_pv_temp_0_v2_3,Day 0
icf_sc_cons_v3_0,6. Was informed consent obtained from the participant for their participation in the study?
medication_name_26_v2_3,Mediation Name or Therapy
pospcr_spo2_dur,How long was the 'Low peripheral capillary oxygen saturation (SpO2 < 95% on room air) as measured by pulse-oximetry' symptom present (needs not be contiguous days)? 
dc_pv_redness_0_v2_3,Day 0
icf_sc_stor_oth_v3_0,Other version of ICF
prevac_sal_2a___1,
d56_chills_v3_2,Chills
dc_ill_temp_am_1_v2_3,"Temperature, morning Day 1"
icf_re_read_v3_0,Was the participant given an opportunity to read informed consent form?
sc_occupation_v2_3,Current occupation:
pospcr_symptoms_r2___2,
d14_ns_13___1,
dc_ill_cough_9_v2_3,Cough Day 9
med_start_date_6_v2_3,
medhist_haem_det_v2_3,Details
ae_sev_10_v2_3,Severity
dc_pv_hard_2_v2_3,Day 2
dc_ill_body_10_v2_3,Body aches Day 10
s6_oxy,Oxygen saturation
conmeds1_v2_3,1. GENERIC NAME
primary_endpoint,Primary outcome:
sx_vis,Which supplementary visit is this? 
s1_cmi___1,
excl_temp,
med_stop_date_1_v2_3,
dc_pv_med6_v2_3,Name of medication
travelhist_country2_start_day_v2_3,Start Date - Day
eos_death_date_aware_v2_3,Date of site awareness:
pospcr_symptoms_r2___6,
ae_sev_24_v2_3,Severity
medication_dose_unit_21_v2_3,Unit Code
ae_related_17_v2_3,Relationship to Study Vaccine
d56_pulse_v3_2,Pulse rate
s6_oth_sp,Other System
pospcr_app,pospcr_app
prevac_sal_1_tim,
d7_breath,
medication_dose_34_v2_3,Dose
s6_ns_tim,Time
ae_og_34_v2_3___1,
dc_pv_cough_med_v2_3,Medication
vacc_route,
dc_ill_adm_7_v2_3,Admission Day 7
vs_un_ur_blood_v2_3,Blood
pospcr_aguesia_qresol,Is symptom (aguesia) resolution date known?
med_stop_day_16_v2_3,Stop Date - Day
prevac_hla_3___1,
d56_temp_v3_2,Oral temperature
exam_ent_det_ncs_v2_3,ENT - Abnormal NCS details
medication_frequency_17_v2_3,Frequency
pospcr_fever_dur,How long was the 'Fever (body temperature of ≥ 37.8°C)' symptom present (needs not be contiguous days)? 
ev_rapid_st,
ae_sev_3_v2_3,Severity
pe_dat_v2_3,Date:
dc_ill_throat_6_v2_3,Sore throat Day 6
medication_name_20_v2_3,Mediation Name or Therapy
pospcr_myalgia_onset,Date of onset (myalgia):
ev_add_comments,
pospcr_diarr_resol,Date of symptom resolution (diarrhea):
med_start_mo_16_v2_3,Start Date - Month
ae_related_27_v2_3,Relationship to Study Vaccine
medication_name_27_v2_3,Mediation Name or Therapy
d364_rapid_st_v3_2,Start date
dc_ill_taste_5_v2_3,Loss of sense of taste Day 5
d364_breath_st_v3_2,Start date
icf_vc_und_v3_0,"4. Does the participant understand the study, study procedures and what is expected of them? "
dc_ill_chest_7_v2_3,Chest pain Day 7
dc_pv_muscle_visit_v2_3,Medical visit
med_ongoing_end_29_v2_3___1,
med_start_mo_33_v2_3,Start Date - Month
med_start_date_3_v2_3,
d182_oth1_v3_2,Other
med_stop_day_25_v2_3,Stop Date - Day
ev_cv_det_ncs,
med_start_date_4_v2_3,
icf_re_trans_v3_0,Was a translator used?
conmeds5_st_mo_v2_3,Start Date Month
med_stop_day_22_v2_3,Stop Date - Day
d42_chest_st_v3_2,Start date
medication_dose_unit_33_v2_3,Unit Code
medhist_skin_v2_3,Skin
med_start_date_14_v2_3,
sc_ns_3_tim,
any_pcr_positive_r2,Any PCR positive outcome
d7_run_st,
excl5,
ae_date_26_v2_3,Start Date
ev_oth4_st,
pospcr_other_dur_r2,How long was the 'Other' symptom present (needs not be contiguous days)? 
ae_og_25_v2_3___1,
ae_sdate_27_v2_3,Stop Date
sc_oxy_v2_3,Oxygen saturation
pospcr_lrtd,pospcr_lrtd
excl24,
pospcr_chills_resol_r2,Date of symptom resolution (chills):
herbal2_st_day_v2_3,Start Date - Day
ae_name_19_v2_3,Adverse event name
medication_name_3_v2_3,Mediation Name or Therapy
pospcr_myalgia_r2,pospcr_myalgia
ev_sae,
med_start_day_6_v2_3,Start Date - Day
ae_name_21_v2_3,Adverse event name
ae_locked_date_v2_3,Locked date
dc_ill_fatigure_2_v2_3,Fatigue/weakness Day 2
d7_nasal_st,
d7_loc,
pv60_induration_2,
pv60_pain,
vacc_site_sp,
pospcr_condition_r2___3,
medication_dose_1_v2_3,Dose
med_locked_date_v2_3,Locked date
vital_crf_status_v2_3,CRF Status
travelhist_country1_end_day_v2_3,End Date - day
icf_re_ques_sp_v3_0,     Specify any questions or concerns raised
ae_date_24_v2_3,Start Date
ae_date_12_v2_3,Start Date
dc_ill_temp_pm_6_v2_3,"Temperature, afternoon Day 6"
s6_dat,1. Date:
ae_og_9_v2_3___1,
pv60_fever,
dc_pv_hard_4_v2_3,Day 4
excl4,
pv60_fatigue,
d42_fever_st_v3_2,Start date
ae_related_26_v2_3,Relationship to Study Vaccine
fu_res3,
d182_app_st_v3_2,Start date
dc_ill_naus_vom_3_v2_3,Nausea and/or vomitting Day 3
mh_field,Field
medication_frequency_21_v2_3,Frequency
travelhist_country3_end_yr_v2_3,End Date - Year
d42_breath_st_v3_2,Start date
ev_oth3_st,
med_start_mo_24_v2_3,Start Date - Month
medication_tmt_4_v2_3,Prophylaxis or Treatment
screening_visit_complete,
dc_pv_med1_dat_v2_3,Date taken
icf_sc_vers_v3_0,Version
medhist_trials_det_v2_3,Details
sc_fbc_3___1,
d182_ns_13_tim_v3_2,Time
dc_ill_throat_1_v2_3,Sore throat Day 1
dc_pv_rigor_5_v2_3,Day 5
s1_dia_2,Diastolic BP
dc_ill_temp_am_4_v2_3,"Temperature, morning Day 4"
med_start_date_21_v2_3,
dc_pv_sweat_1_v2_3,Day 1
d42_weak_st_v3_2,Start date
d56_fever_v3_2,Fever
mh_uncoded_term,Uncoded term
pospcr_cough_r2,pospcr_cough
prevac_ns_2b_tim,
med_start_yr_31_v2_3,Start Date - Year
d14_pulse,
dc_ill_med3_dat_v2_3,Date taken
icf_sc_hiv_tim_v3_0,Time of consent
med_start_yr_1_v2_3,Start Date - Year
d28_othsamp_sp,
ae_yes_sae_33_v2_3___1,
d7_pulse,
ae_sdate_8_v2_3,Stop Date
conmeds6_v2_3,6. GENERIC NAME
med_stop_date_19_v2_3,
icf_ad_tel_oth_sp_v1_0,
ae_sev_11_v2_3,Severity
cm_level_1,Level 1
pospcr_symptoms___1,
pospcr_myalgia_qresol_r2,Is symptom (myalgia) resolution date known?
med_start_day_20_v2_3,Start Date - Day
cm_level_5,Level 5
d42_breath_v3_2,Shortness of breath
s1_ent,ENT
med_stop_mo_13_v2_3,Stop Date - Month
icf_re_stor_oth_v3_0,Other version of ICF
d7_body_st,
ae_sae_27_v2_3,"If ticked, specify reason"
ae_outcome_17_v2_3,Outcome
med_start_yr_29_v2_3,Start Date - Year
travelhist_v2_3,7. Any recent travel history?  
pospcr_headache_resol,Date of symptom resolution (headache):
d42_othsamp_sp_v3_2,Specify other sample
dem_locked_date_v2_3,Locked date
medication_dose_unit_17_v2_3,Unit Code
medication_route_27_v2_3,Route Code
medication_frequency_19_v2_3,Frequency
d28_othsamp_tim,
d3_ue___1,
med_stop_date_17_v2_3,
dc_pv_hard_0_v2_3,Day 0
dc_ill_fatigure_7_v2_3,Fatigue/weakness Day 7
incl5,
pospcr_symptoms___11,
icf_ad_tel_ques_v1_0,4. Was the opportunity for questions given? 
conmeds3_ind_v2_3,Indication
d7_diarr,
dc_ill_med6_v2_3,Name of medication
dc_ill_oth2_8_v2_3,Other 2 Day 8
allergen3_v2_3,3. Allergen1
ae_sae_25_v2_3,"If ticked, specify reason"
med_start_mo_5_v2_3,Start Date - Month
d182_diarr_v3_2,Diarrhoea
medication_dose_13_v2_3,Dose
d56_ns_2a_v3_2___1,
med_ongoing_end_14_v2_3___1,
dc_ill_taste_4_v2_3,Loss of sense of taste Day 4
dc_pv_feverish_0_v2_3,Day 0
ae_yes_sae_19_v2_3___1,
dc_ill_med7_v2_3,Name of medication
s6_vacc_tim,10. Time of vaccination
ae_sev_31_v2_3,Severity
medication_dose_unit_13_v2_3,Unit Code
med_stop_date_26_v2_3,
d3_cough,
dc_ill_oth2_10_v2_3,Other 2 Day 10
med_stop_date_25_v2_3,
d7_othsamp_tim,
dc_pv_tenderness_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
dc_ill_naus_vom_10_v2_3,Nausea and/or vomitting Day 10
icf_hiv_tim_v2_3,Time of consent
dc_ill_med7_dat_v2_3,Date taken
ae_name_26_v2_3,Adverse event name
d14_tim,
dc_pv_swelling_1_v2_3,Day 1
pospcr_symptoms_r2___19,
med_stop_mo_3_v2_3,Stop Date - Month
ae_outcome_24_v2_3,Outcome
d3_eyes,
medication_route_32_v2_3,Route Code
prevac_serum_3___1,
d3_temp,
d56_serum_13_v3_2___1,
dc_ill_oth1_8_v2_3,Other 1 Day 8
ae_outcome_7_v2_3,Outcome
dc_ill_temp_pm_1_v2_3,"Temperature, afternoon Day 1"
ae_sev_27_v2_3,Severity
med_stop_yr_30_v2_3,Stop Date - Year
med_start_date_11_v2_3,
d364_serum_3_tim_v3_2,Time
s6_induration,Induration
mh_term,Medical history term
d14_dia,
ae_sae_9_v2_3,"If ticked, specify reason"
prevac_ns_2a_tim,
excl2,
ae_sae_21_v2_3,"If ticked, specify reason"
dc_ill_med12_dose_v2_3,Dosage
med_start_date_33_v2_3,
d28_family_id7,
medhist_endo_met_det_v2_3,Details
dc_pv_rigor_med_v2_3,Medication
med_ongoing_end_11_v2_3___1,
d42_oth2_v3_2,Other
icf_sc_dat_v3_0,Date of main consent
med_stop_yr_17_v2_3,Stop Date - Year
med_start_yr_35_v2_3,Start Date - Year
d14_othsamp_tim,
ev_head,
d3_run_st,
ev_abdo_det_ncs,
d364_othsamp_v3_2___1,
icf_crf_status_v3_0,CRF Status
medhist_musc_det_v2_3,Details
ev_rapid,
prevac_oxy,
med_stop_date_12_v2_3,
prevac_hla_2a___1,
pospcr_throat_qresol,Is symptom (sore throat) resolution date known?
med_stop_date_6_v2_3,
medication_tmt_22_v2_3,Prophylaxis or Treatment
redcap_repeat_instrument,
medication_name_12_v2_3,Mediation Name or Therapy
medication_dose_unit_3_v2_3,Unit Code
dc_pv_bruis_4_v2_3,Day 4
sc_weight_v2_3,Weight
d3_throat_st,
ae_sdate_18_v2_3,Stop Date
pospcr_symptoms___6,
med_stop_date_21_v2_3,
dc_pv_redness_5_v2_3,Day 5
d3_loc,
pospcr_diarr_dur_r2,How long was the 'Diarrhoea' symptom present (needs not be contiguous days)? 
dc_pv_breath_5_v2_3,Day 5
conmeds4_st_day_v2_3,Start Date - Day
dc_ill_med8_v2_3,Name of medication
dc_pv_taste_1_v2_3,Day 1
s1_serum___1,
med_stop_day_3_v2_3,Stop Date - Day
pospcr_diarr_dur,How long was the 'Diarrhoea' symptom present (needs not be contiguous days)? 
ev_diarr.1,
ae_name_23_v2_3,Adverse event name
fluvac_day_v2_3,"If yes, date - Day"
ev_eyes_st,
pospcr_condition___4,
dc_pv_med1_dose_v2_3,Dosage
ae_outcome_6_v2_3,Outcome
pospcr_adjud_comments,Adjudicator comments:
d56_fever_st_v3_2,Start date
ae_og_5_v2_3___1,
dc_pv_temp_visit_v2_3,Medical visit
pospcr_throat_onset,Date of onset (sore throat):
icf_re_main__vers_v3_0,Version
conmeds4_ind_v2_3,Indication
icf_ad_surv_v1_0,14. Does participant agree to continued surveillance? 
d7_sae,
allergen_vacc_details_v2_3,Details
pospcr_condition_r2___1,
medication_tmt_17_v2_3,Prophylaxis or Treatment
medication_dose_32_v2_3,Dose
d28_run,
sc_childbear_v2_3,"If female, of childbearing potential?"
medication_frequency_26_v2_3,Frequency
med_start_yr_14_v2_3,Start Date - Year
dc_pv_temp_6_v2_3,Day 6
s6_itch,Itch
pospcr_anosmia_dur,How long was the 'Anosmia' symptom present (needs not be contiguous days)? 
prevac_ns_3___1,
dc_ill_breath_9_v2_3,Shortness of breath Day 9
s1_gen_det_cs,General - Abnormal CS details
d364_chest_st_v3_2,Start date
dc_ill_diarr_9_v2_3,Diarrhoea Day 9
medication_frequency_4_v2_3,Frequency
s1_lymph_det_cs,Lymphatic - Abnormal CS details
dc_pv_muscle_1_v2_3,Day 1
med_stop_yr_32_v2_3,Stop Date - Year
ae_date_14_v2_3,Start Date
d28_nasal,
medication_name_30_v2_3,Mediation Name or Therapy
med_start_mo_4_v2_3,Start Date - Month
meddra_locked_date_v3,Locked date
vacc_site,
sae_num_v3,SAE Instance
d42_temp_v3_2,Oral temperature
dc_ill_throat_2_v2_3,Sore throat Day 2
pospcr_throat_qresol_r2,Is symptom (sore throat) resolution date known?
pe_visit_v2_3,Visit
dc_ill_oth2_3_v2_3,Other 2 Day 3
d28_loc,
med_start_mo_25_v2_3,Start Date - Month
ev_oxy,
pv60_sys,
dc_pv_weak_0_v2_3,Day 0
s1_elig,3.	Is participant eligible for supplementary visits? 
icf_re_oth_v3_0,Other consent details
d364_nasal_st_v3_2,Start date
sc_uke_1___1,
ae_related_20_v2_3,Relationship to Study Vaccine
d42_smell_st_v3_2,Start date
dc_ill_naus_vom_5_v2_3,Nausea and/or vomitting Day 5
pospcr_other_onset_r2,Date of onset (Other):
ev_oth1_st,
dc_pv_rigor_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
dc_pv_med3_v2_3,Name of medication
ae_sev_22_v2_3,Severity
med_stop_date_34_v2_3,
d14_ns_2a_tim,
dc_ill_adm_9_v2_3,Admission Day 9
medication_tmt_6_v2_3,Prophylaxis or Treatment
excl28,
dc_ill_taste_1_v2_3,Loss of sense of taste Day 1
medication_frequency_33_v2_3,Frequency
medication_tmt_29_v2_3,Prophylaxis or Treatment
sc_ns_1___1,
pospcr_data_sources_r2___7,
social_recdrugs_det_v2_3,Details: __
s1_chills,Chills
pv60_tenderness_2,
d56_dat_v3_2,1. Date:
d14_breath,
med_ongoing_end_15_v2_3___1,
d364_throat_v3_2,Sore throat
pospcr_vomit_onset_r2,Date of onset (Nausea or vomiting):
pv60_chills,
dc_ill_oth2_sp_v2_3,
dc_pv_redness_3_v2_3,Day 3
d42_pulse_v3_2,Pulse rate
icf_vc_lit_v3_0,1. Is the participant literate? 
d56_smell_v3_2,Loss of sense of smell
med_stop_date_8_v2_3,
med_start_yr_17_v2_3,Start Date - Year
dc_pv_muscle_4_v2_3,Day 4
icf_re_cons_v3_0,Was informed consent obtained from the participant for their continued participation in the study?
med_stop_date_30_v2_3,
eos_death_postmortem_v2_3,Post mortem performed?
medhist_ent_v2_3,ENT
dc_ill_adm_4_v2_3,Admission Day 4
s6_lymph,Lymphatic
med_stop_mo_2_v2_3,Stop Date - Month
d28_chills,
med_start_day_23_v2_3,Start Date - Day
d7_ue_13___1,
ae_og_33_v2_3___1,
fu_sal_datetime4,
d182_oth2_st_v3_2,Start date
pospcr_headache_dur,How long was the 'Headache' symptom present (needs not be contiguous days)? 
icf_sc_lit_v3_0,1. Is the participant literate? 
med_start_yr_16_v2_3,Start Date - Year
pospcr_symptoms_r2___10,
med_stop_mo_23_v2_3,Stop Date - Month
endpoint_evaluation_e1_r2_complete,
ae_related_31_v2_3,Relationship to Study Vaccine
fu_res9,
d28_fbc_13___1,
ae_og_27_v2_3___1,
medication_route_1_v2_3,Route Code
s1_inject,Injection site
ae_sev_12_v2_3,Severity
s1_oth_det_ncs,Other - Abnormal NCS details
medication_route_19_v2_3,Route Code
medication_dose_unit_34_v2_3,Unit Code
d28_run_st,
med_stop_day_13_v2_3,Stop Date - Day
d28_dat,
d7_reglymph,
ae_yes_sae_35_v2_3___1,
dc_pv_joint_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
pospcr_chills_dur,How long was the 'Chills' symptom present (needs not be contiguous days)? 
dc_ill_eyes_8_v2_3,Redness of the eyes Day 8
medication_dose_unit_19_v2_3,Unit Code
d28_diarr_st,
medication_dis_29_v2_3,Disease Indication
ev_diarr,
pospcr_sob_dur_r2,How long was the 'Shortness of breath' symptom present (needs not be contiguous days)? 
ur_pregnancy_result_v2_3,Result
d364_oth1_sp_v3_2,Other: Specify
ae_name_10_v2_3,Adverse event name
d56_head_v3_2,Headache
d56_ns_13_v3_2___1,
med_start_yr_28_v2_3,Start Date - Year
medication_dose_unit_9_v2_3,Unit Code
d3_rapid,
med_start_date_12_v2_3,
med_start_date_2_v2_3,
d56_lft_13_v3_2___1,
d364_conmed_v3_2,7. Did the participant take any concomitant medication since previous visit?
medication_dis_4_v2_3,Disease Indication
d56_taste_st_v3_2,Start date
pospcr_sob_qresol_r2,Is symptom (sob) resolution date known?
pospcr_sob,pospcr_sob
dc_ill_chill_10_v2_3,Chills Day 10
s6_vacc_site_sp,"If other, specify"
d7_app_st,
s6_nausea,Nausea
d28_weak,
dc_ill_oth2_2_v2_3,Other 2 Day 2
pospcr_fever_resol_r2,Date of symptom resolution (fever):
medication_dose_12_v2_3,Dose
d14_diarr,
ev_body.1,
un_comm2,Comments
dc_ill_med1_v2_3,Name of medication
ev_body,
d42_ns_2b_tim_v3_2,Time
icf_vc_wit_v3_0,2. Is a witness needed to the informed consent process (if illiterate)?
medication_route_34_v2_3,Route Code
icf_re_oth_tim_v3_0,Time of consent
d364_body_v3_2,Body aches
med_stop_mo_5_v2_3,Stop Date - Month
s1_icf,2.	Was informed consent signed for supplementary visits and adequately documented?
icf_sc_oth_sp_v3_0,Other version of ICF
pospcr_asymp_comment_r2,Comments:
d28_neut_13___1,
ae_sae_18_v2_3,"If ticked, specify reason"
pospcr_hightemp_dur,If >38.4 C how long was the 'fever of over 38.4 C' present (needs not be contiguous days)?
sc_temp_v2_3,Oral temperature
ae_date_3_v2_3,Start Date
d182_taste_v3_2,Loss of sense of taste
dc_ill_taste_6_v2_3,Loss of sense of taste Day 6
dc_ill_throat_8_v2_3,Sore throat Day 8
dc_ill_breath_7_v2_3,Shortness of breath Day 7
pospcr_appetite_onset_r2,Date of onset (Loss of appetite):
d14_breath_st,
dc_pv_joint_6_v2_3,Day 6
med_stop_date_23_v2_3,
ev_cough,
ae_yes_sae_4_v2_3___1,
s6_preg,9.1 If yes: Females of childbearing potential: Was a pregnancy test performed prior to vaccination?
d182_naus_vom_v3_2,Nausea and/or vomitting
medication_dis_26_v2_3,Disease Indication
d7_temp,
medication_dose_33_v2_3,Dose
pospcr_symptoms_r2___14,
pregnancy_v2_3,Is subject lactating or planning to fall pregnant during trial period?
s1_oxy_2,Oxygen saturation
dc_ill_chest_2_v2_3,Chest pain Day 2
dc_pv_tenderness_4_v2_3,Day 4
pospcr_aguesia_onset,Date of onset (aguesia):
ae_date_21_v2_3,Start Date
pv60_temp_2,
d3_induration,
sc_ns_2___1,
excl13,
d182_chills_v3_2,Chills
medication_frequency_29_v2_3,Frequency
s1_cv,Cardiovascular
medication_name_28_v2_3,Mediation Name or Therapy
med_ongoing_end_35_v2_3___1,
d56_diarr_st_v3_2,Start date
d28_naus_vom,
un_reas,Reason for unblinding 
d56_naus_vom_v3_2,Nausea and/or vomitting
medication_tmt_21_v2_3,Prophylaxis or Treatment
ae_related_21_v2_3,Relationship to Study Vaccine
d364_dia_v3_2,Diastolic BP
medication_route_4_v2_3,Route Code
med_stop_yr_14_v2_3,Stop Date - Year
med_start_day_26_v2_3,Start Date - Day
medication_route_24_v2_3,Route Code
ev_fever,
ae_sev_17_v2_3,Severity
medication_dose_21_v2_3,Dose
med_stop_yr_18_v2_3,Stop Date - Year
analysis_inclusion_r2,Analysis inclusion based on start date of event:
dc_pv_itch_0_v2_3,Day 0
ae_sev_2_v2_3,Severity
pospcr_anosmia_onset_r2,Date of onset (anosmia):
pospcr_chills_dur_r2,How long was the 'Chills' symptom present (needs not be contiguous days)? 
d182_head_v3_2,Headache
d14_rapid,
d3_app_st,
sc_oxy_sp_v2_3,Other oxygen
d7_app,
travelhist_country2_end_mo_v2_3,End Date - Month
d182_crf_status_v3_2,CRF Status
d56_loc_v3_2,3. Where is this visit taking place?
dc_ill_temp_pm_9_v2_3,"Temperature, afternoon Day 9"
d182_conmed_v3_2,7. Did the participant take any concomitant medication since previous visit?
med_start_date_9_v2_3,
s1_pulse_2,Pulse rate
s6_oxy_2,Oxygen saturation
d7_body,
ae_sdate_14_v2_3,Stop Date
pv60_swelling_2,
travelhist_country2_det_v2_3,Comments
d56_locked_date_v3_2,Locked date 
pospcr_chills,pospcr_chills
sc_bmi_v2_3,BMI
dc_pv_hard_3_v2_3,Day 3
travelhist_country1_end_yr_v2_3,End Date - Year
ev_oth2,
icf_re_main_na_v3_0___1,
exam_gen_v2_3,General
dc_ill_smell_5_v2_3,Loss of sense of smell Day 5
mh_pt,PT
d182_dat_v3_2,1. Date:
medication_name_22_v2_3,Mediation Name or Therapy
medication_route_12_v2_3,Route Code
dc_ill_adm_1_v2_3,Admission Day 1
ae_name_33_v2_3,Adverse event name
ae_sev_28_v2_3,Severity
medication_dis_18_v2_3,Disease Indication
ae_date_19_v2_3,Start Date
dc_ill_smell_4_v2_3,Loss of sense of smell Day 4
dc_pv_joint_5_v2_3,Day 5
mh_crf_status,CRF status
d364_serum_2b_v3_2___1,
d3_redness_comment,
s6_oth,Other: specify
med_start_mo_3_v2_3,Start Date - Month
d3_naus_vom,
med_start_date_13_v2_3,
d182_body_v3_2,Body aches
ae_sae_20_v2_3,"If ticked, specify reason"
d182_othsamp_tim_v3_2,Time
ae_yes_sae_8_v2_3___1,
medication_dose_unit_11_v2_3,Unit Code
pospcr_norb_dur,How long was the 'New onset rapid breathing' symptom present (needs not be contiguous days)? 
dc_pv_swelling_3_v2_3,Day 3
d364_body_st_v3_2,Start date
pospcr_anosmia_resol_r2,Date of symptom resolution (anosmia):
sc_last_period_date_day_v2_3,Day
medication_dose_unit_4_v2_3,Unit Code
dc_pv_rigor_1_v2_3,Day 1
med_crf_status_v2_3,CRF Status
medication_dis_32_v2_3,Disease Indication
prevac_sal_2a_tim,
pv60_musclepains,
pospcr_nasal_onset_r2,Date of onset (Nasal congestion):
vital_un_locked_date_v2_3,Locked date
s1_ns_tim,Time
ae_sev_35_v2_3,Severity
dc_ill_taste_7_v2_3,Loss of sense of taste Day 7
dc_pv_bruis_0_v2_3,Day 0
pospcr_condition_r2___6,
icf_ad_tel_tim_v1_0,time of consent
medhist_recent_v2_3,Recent illnesses
exam_cv_det_ncs_v2_3,Cardiovascular - Abnormal NCS details
icf_re_lang_v3_0,Preferred language for signing ICF
pospcr_tired_onset_r2,Date of onset (Tiredness (or fatigue or weakness)):
pospcr_tacypnea_level_r2,Tachypnea level:
vs_scr_tim_v2_3,Time
d3_reglymph_comment,
d56_serum_2a_v3_2___1,
sc_cd4_3___1,
med_start_day_11_v2_3,Start Date - Day
d28_eyes,
sc_age_v2_3,Age: _______ years
dc_pv_bruis_med_v2_3,Medication
medication_route_22_v2_3,Route Code
d3_chills,
med_start_date_17_v2_3,
dc_pv_joint_3_v2_3,Day 3
dc_pv_tenderness_med_v2_3,Medication
medication_tmt_15_v2_3,Prophylaxis or Treatment
d56_chest_v3_2,Chest pain
medhist_family_v2_3,Significant family history
ae_yes_sae_3_v2_3___1,
dc_pv_redness_6_v2_3,Day 6
medication_name_32_v2_3,Mediation Name or Therapy
medication_tmt_18_v2_3,Prophylaxis or Treatment
medication_dis_25_v2_3,Disease Indication
d182_ns_13_v3_2___1,
d182_throat_v3_2,Sore throat
medication_name_24_v2_3,Mediation Name or Therapy
dc_ill_diarr_5_v2_3,Diarrhoea Day 5
